,bi_allequity_pct,bi_wilshire_pct,bi_spx_proxy,cape,qratio,ey_deficit,mean_reversion,crestmont
1939-05-31,,,,14.502929499657773,,-2.457499090018275,266.86284365942026,13.09060094728615
1939-06-30,,,,14.833828921489788,,-2.3161882278602794,271.61552119565215,13.3443107368726
1939-07-31,,,,15.27095259857026,,-2.135720387719906,278.26926974637684,13.68989767296158
1939-08-31,,,,15.120082343333987,,-2.2135610210475383,274.22949384057966,13.507249020181627
1939-09-30,,,,16.452835577060966,,-3.817979660808316,297.00189769503544,14.646582256357362
1939-10-31,,,,16.82120480626564,,-3.697377382549408,302.1684482142858,14.914599649345035
1939-11-30,,,,16.59923850994664,,-3.789372740959034,296.78094875,14.65781305676277
1939-12-31,,,,16.28041290128383,,-3.919850357226766,289.7537755357143,14.316611434728676
1940-01-31,,,,16.378480342613663,,-3.181286836289642,290.18686510791366,14.339146137291715
1940-02-29,,,,16.21611984773105,,-4.697794440776153,286.24018892857146,14.14320286150863
1940-03-31,,,,16.172906305307897,,-4.735938362070156,284.60051517857147,14.058646895513558
1940-04-30,,,,16.370988707128785,,-5.412641923982555,287.41138446428573,14.192615764993173
1940-05-31,,,,14.138747694800733,,-6.398704211224105,247.82497535714288,12.233017234742356
1940-06-30,,,,12.843765598268803,,-7.858124999003105,224.90276826241134,11.09675041397946
1940-07-31,,,,13.369884763210056,,-6.84877139172143,234.00486803571428,11.539573122322237
1940-08-31,,,,13.649399392391635,,-6.717271717582734,238.92388928571427,11.776436672638033
1940-09-30,,,,14.214842598620635,,-4.289013742712007,248.99617089285718,12.266678001691435
1940-10-31,,,,14.328290323104955,,-4.964199733184211,251.33856196428573,12.376837780141098
1940-11-30,,,,14.636689248763604,,-4.838812809855929,257.19453964285714,12.659925263698232
1940-12-31,,,,13.908426122353836,,-5.932505172784456,244.90446223404257,12.051526186972117
1941-01-31,,,,13.90415826795083,,-6.680941967624758,245.36961790780143,12.069789344431511
1941-02-28,,,,13.002943303402446,,-6.412352201169744,230.01948067375886,11.310202617194605
1941-03-31,,,,12.95571982206333,,-7.11216996060374,229.78526496478872,11.29453031584612
1941-04-30,,,,12.429370389220786,,-8.110816958482552,221.06930000000003,10.862002455686872
1941-05-31,,,,12.037206512481577,,-9.044718198340876,214.7517147569444,10.546670452061312
1941-06-30,,,,12.164306590628442,,-10.31359188719003,217.73082721088437,10.687577939410032
1941-07-31,,,,12.74499627791958,,-10.641216493075625,228.88507040816327,11.226333543468813
1941-08-31,,,,12.463173720387806,,-12.20470988884705,224.7123354026846,11.011563850216943
1941-09-30,,,,12.279729272093078,,-13.710644866365488,222.3875390728477,10.885750911375654
1941-10-31,,,,11.577814956574077,,-15.590422634187542,210.6927184640523,10.303188022446504
1941-11-30,,,,10.911668685916965,,-16.789501129791823,199.52913035714283,9.747967860171235
1941-12-31,,,,10.086593309917905,,-17.425728107028164,185.33602645161292,9.046542612255587
1942-01-31,,,,10.101686431929254,,-18.786854902943375,186.52594378980893,9.098531927139431
1942-02-28,,,,9.680255591749363,,-19.926210005224313,179.533897943038,8.753943190663517
1942-03-31,,,,9.003426617760969,,-21.321272000221835,167.6566409375,8.173398585238562
1942-04-30,,,,8.54425570758826,,-21.828682163408388,159.6899652173913,7.784496892358276
1942-05-31,,,,8.50611625969605,,-22.487357669111166,159.54126180981595,7.778238355332962
1942-06-30,,,,8.905456928518051,,-19.649257161033923,167.5887403374233,8.172556807187574
1942-07-31,,,,9.150488900994736,,-20.028003676046154,172.76562439024391,8.428732648355716
1942-08-31,,,,9.012823047564293,,-19.367724411955635,170.72481833333333,8.334148098865178
1942-09-30,,,,9.0778298393715,,-17.820705208300964,172.51355333333333,8.427120685392122
1942-10-31,,,,9.599176749352981,,-17.10038682478487,183.01508203592815,8.94477551414293
1942-11-30,,,,9.661334152171651,,-16.97311310831237,184.85369538690475,9.038469476003595
1942-12-31,,,,9.617514103283174,,-16.96078865371962,184.7301076923077,9.035043039954111
1943-01-31,,,,10.150534220432078,,-15.02501033063157,195.79062884615385,9.579977066009096
1943-02-28,,,,10.708982995221264,,-13.829146861248843,207.4332826923077,10.154319725078693
1943-03-31,,,,10.850541744036796,,-14.24446303072449,211.06033037790698,10.337117936890753
1943-04-30,,,,11.039227142939685,,-14.660639325164338,215.6076747126437,10.565942263207726
1943-05-31,,,,11.362215800613686,,-13.689730078393673,222.80823871428572,10.925493364964
1943-06-30,,,,11.516744786451227,,-13.570805642347917,226.74345571428572,11.124788494248445
1943-07-31,,,,11.774213341781651,,-12.115697382875522,232.75828520114945,11.426638804382545
1943-08-31,,,,11.210545904158963,,-11.292823722189304,222.5406916184971,10.93121471775255
1943-09-30,,,,11.336281939610286,,-11.79911316901995,225.97342830459775,11.109720237579443
1943-10-31,,,,11.187335503326032,,-10.65279568337893,223.90027758620695,11.022597257846853
1943-11-30,,,,10.631033673001419,,-10.499518270500822,213.5345239942529,10.529983281489171
1943-12-31,,,,10.73736031604107,,-9.792689202441636,216.36154770114945,10.691625033288732
1944-01-31,,,,11.05241276397747,,-9.526378053466356,223.3348728448276,11.05973068952124
1944-02-29,,,,10.947918887724722,,-9.621902640046459,221.82712686781613,11.00953518263438
1944-03-31,,,,11.224693196180686,,-7.610053500369642,228.04657902298854,11.344002262128862
1944-04-30,,,,10.938275188239398,,-7.264421838370751,222.80823871428572,11.110772946664353
1944-05-31,,,,11.10373693679262,,-6.562643714686105,226.74345571428572,11.336688952822264
1944-06-30,,,,11.532785272532506,,-6.808194176272142,236.0757546875,11.836618500425791
1944-07-31,,,,11.738774750180715,,-7.817914560465992,240.85603107344633,12.113171845211525
1944-08-31,,,,11.541711674209218,,-8.56053153602776,237.3358275423729,11.97610491921139
1944-09-30,,,,11.328560584696469,,-8.14471804937316,233.44507627118645,11.822198490579122
1944-10-31,,,,11.583105186279123,,-7.959901498256173,239.1885662429379,12.156638783002759
1944-11-30,,,,11.478459198055475,,-8.047775279004856,237.52110141242937,12.116539119445502
1944-12-31,,,,11.638683593355125,,-8.511720902426788,241.34523735955057,12.358366243991021
1945-01-31,,,,11.960463439806988,,-8.289730611114809,248.5303245786517,12.771913230514958
1945-02-28,,,,12.341753548186311,,-8.046426890919815,256.8208098314607,13.242571040309182
1945-03-31,,,,12.323310311389324,,-8.07355331879426,256.6365768258427,13.275173550293436
1945-04-30,,,,12.63186723656307,,-7.305771703827225,263.0847320224719,13.651020332962112
1945-05-31,,,,13.03656062878535,,-7.646449140365672,271.5079885474861,14.130112145861904
1945-06-30,,,,13.130223361406047,,-8.161925760810693,273.39974461325966,14.26981935727689
1945-07-31,,,,12.867028443009152,,-7.75168920869307,267.7831825966851,14.015338866632165
1945-08-31,,,,12.915378562256732,,-7.7375946249397245,268.6890796961326,14.099833865669401
1945-09-30,,,,13.798264951719771,,-7.257175005256968,286.98820110497235,15.098602355879649
1945-10-31,,,,14.374662675391328,,-6.981571990765564,298.94604281767954,15.767404587988995
1945-11-30,,,,14.847702661876774,,-6.774935671243069,308.7297314917127,16.324052951184168
1945-12-31,,,,15.02034747473995,0.5207822732934227,-6.699826606429206,312.2587482142857,16.551249598666836
1946-01-31,,,,15.623163177761654,0.5207822732934227,-6.457943462080346,324.6914392857143,17.255029720390823
1946-02-28,,,,15.761666525801894,0.5207822732934227,-5.834900029731866,327.39121174033147,17.445702134202353
1946-03-31,,,,15.134873415142525,,-7.216245875290379,314.1364025956284,16.789336389946627
1946-04-30,,,,16.040842386215907,,-7.399873081156254,332.56861059782614,17.830849880361935
1946-05-31,,,,16.01372317083217,,-7.386599287504644,331.47999054054054,17.832289684718486
1946-06-30,,,,15.773186880128733,,-7.439790024030977,325.83035588235293,17.59138105999811
1946-07-31,,,,14.508136111909064,,-14.064949355460044,298.95061805555554,16.203065226201243
1946-08-31,,,,13.984939309942757,,-16.527759388244753,287.3487660891089,15.635857135372575
1946-09-30,,,,11.841267540149632,,-18.922224176048616,242.57526360294122,13.251661191948738
1946-10-31,,,,11.387602961765046,,-21.463606399453383,232.5498828125,12.752516201071435
1946-11-30,,,,11.110043656743288,,-24.440422732162187,226.1672055164319,12.448961511951316
